model,strategy,outcome,cohort,fold,n_train,n_test,auc_roc,f1_weighted,sensitivity,specificity
ANN,Age-stratified,Binary,Seniors,3,1032,257,0.6677713590757068,0.6363867147174203,0.6503496503496503,0.6173913043478261
ANN,Age-stratified,Binary,Seniors,4,1032,257,0.7133475220431742,0.6481978673300713,0.6503496503496503,0.6434782608695652
ANN,Age-stratified,Binary,Seniors,5,1032,257,0.7096754439681567,0.6391206302433317,0.6197183098591549,0.6608695652173913
Random Forest,Pooled baseline,Multiclass,All,1,6549,1637,0.7379797544925556,0.4975313444316023,0.6251526251526252,0.4033517567714269
Random Forest,Pooled baseline,Multiclass,All,2,6549,1637,0.7034895316668152,0.5039126299709917,0.628588882101405,0.40754873206548287
Random Forest,Pooled baseline,Multiclass,All,3,6549,1637,0.7256923593324711,0.501841335815031,0.6310323762981063,0.40386433676615063
Random Forest,Pooled baseline,Multiclass,All,4,6549,1637,0.7372004955345707,0.500758467857139,0.6298106291997556,0.4051937159472903
Random Forest,Pooled baseline,Multiclass,All,5,6549,1637,0.7371996595209519,0.4961078985331549,0.6267562614538791,0.40281902357459354
ANN,Pooled baseline,Multiclass,All,1,6549,1637,0.6743816368674087,0.5800100863021415,0.5818070818070818,0.6537278482031249
ANN,Pooled baseline,Multiclass,All,2,6549,1637,0.6800181781550915,0.577934013542491,0.5754428833231521,0.6639217570888795
ANN,Pooled baseline,Multiclass,All,3,6549,1637,0.6846814018998962,0.5812595666962316,0.5815516188149054,0.6551791677193531
ANN,Pooled baseline,Multiclass,All,4,6549,1637,0.6946551304709272,0.5891986110714253,0.5931582162492364,0.6539491003405692
ANN,Pooled baseline,Multiclass,All,5,6549,1637,0.6541376120509261,0.5578525951241781,0.5693341478313989,0.6088414822498954
Random Forest,Age-inclusive pooled,Multiclass,All,1,6549,1637,0.7351394830724198,0.5123595885572995,0.6330891330891331,0.4184988502740179
Random Forest,Age-inclusive pooled,Multiclass,All,2,6549,1637,0.7132391833656547,0.5170970899065542,0.6334758704948076,0.4202177322869977
Random Forest,Age-inclusive pooled,Multiclass,All,3,6549,1637,0.7354136437349374,0.5131278382408133,0.6340867440439829,0.41512446654929197
Random Forest,Age-inclusive pooled,Multiclass,All,4,6549,1637,0.7374164227621756,0.5042801955625075,0.6322541233964569,0.4071249818563304
Random Forest,Age-inclusive pooled,Multiclass,All,5,6549,1637,0.7383192412530931,0.5135618640033401,0.6346976175931582,0.4165037804712031
ANN,Age-inclusive pooled,Multiclass,All,1,6549,1637,0.6772725305165256,0.571387374845295,0.5695970695970696,0.6530695313875888
ANN,Age-inclusive pooled,Multiclass,All,2,6549,1637,0.6695369931861305,0.5743064904585092,0.5742211362248014,0.6464160912638631
ANN,Age-inclusive pooled,Multiclass,All,3,6549,1637,0.6757591651625218,0.5783599563756828,0.5778863775198534,0.6579138755579117
